Source_Keyword,conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,waktu_tweet,step_1_case_folding,step_2_cleaning,step_3_token,step_4_norm,step_4_str,step_5_stemmed,step_6_final,Topic
SPPG,1972450721091277071,Sun Sep 28 23:57:52 +0000 2025,0,ujicoba MBG ini telah dilakukan sebelum pelantikan presiden/wapres .. pun dalam kampanye juga telah disampaikan .. persiapan relatif cukup dari unsur waktu .. rekrutmen mitra SPPG yang ber-SLHS saja yang serasa memasuki wilayah abu-abu .. jadinya yaa memble .. https://t.co/4EBIQaXsHf,1.972450721091277e+18,https://pbs.twimg.com/media/G1-NekwacAAqSbI.jpg,,in,,0.0,0.0,0.0,https://x.com/undefined/status/1972450721091277071,7.857644058834821e+17,;;;;,2025-09-28 23:57:52,ujicoba mbg ini telah dilakukan sebelum pelantikan presiden/wapres .. pun dalam kampanye juga telah disampaikan .. persiapan relatif cukup dari unsur waktu .. rekrutmen mitra sppg yang ber-slhs saja yang serasa memasuki wilayah abu-abu .. jadinya yaa memble .. https://t.co/4ebiqaxshf,ujicoba mbg ini telah dilakukan sebelum pelantikan presiden wapres pun dalam kampanye juga telah disampaikan persiapan relatif cukup dari unsur waktu rekrutmen mitra sppg yang ber slhs saja yang serasa memasuki wilayah abu abu jadinya yaa memble,"['ujicoba', 'mbg', 'ini', 'telah', 'dilakukan', 'sebelum', 'pelantikan', 'presiden', 'wapres', 'pun', 'dalam', 'kampanye', 'juga', 'telah', 'disampaikan', 'persiapan', 'relatif', 'cukup', 'dari', 'unsur', 'waktu', 'rekrutmen', 'mitra', 'sppg', 'yang', 'ber', 'slhs', 'saja', 'yang', 'serasa', 'memasuki', 'wilayah', 'abu', 'abu', 'jadinya', 'yaa', 'memble']","['ujicoba', 'makan bergizi gratis', 'ini', 'telah', 'dilakukan', 'sebelum', 'pelantikan', 'presiden', 'wakil presiden', 'pun', 'dalam', 'kampanye', 'juga', 'telah', 'disampaikan', 'persiapan', 'relatif', 'cukup', 'dari', 'unsur', 'waktu', 'rekrutmen', 'mitra', 'satuan pelayanan pemenuhan gizi', 'yang', 'ber', 'standar laik higienis sanitasi', 'saja', 'yang', 'serasa', 'memasuki', 'wilayah', 'abu', 'abu', 'jadinya', 'ya', 'memble']",ujicoba makan bergizi gratis ini telah dilakukan sebelum pelantikan presiden wakil presiden pun dalam kampanye juga telah disampaikan persiapan relatif cukup dari unsur waktu rekrutmen mitra satuan pelayanan pemenuhan gizi yang ber standar laik higienis sanitasi saja yang serasa memasuki wilayah abu abu jadinya ya memble,ujicoba makan gizi gratis ini telah laku belum lantik presiden wakil presiden pun dalam kampanye juga telah sampai siap relatif cukup dari unsur waktu rekrutmen mitra satu layan penuh gizi yang ber standar laik higienis sanitasi saja yang serasa pasuk wilayah abu abu jadi ya memble,ujicoba makan gizi gratis laku lantik presiden wakil presiden kampanye siap relatif unsur rekrutmen mitra satu layan penuh gizi ber standar laik higienis sanitasi serasa pasuk wilayah abu abu memble,0
MAKAN_BERGIZI_GRATIS,1972318205613068573,Sun Sep 28 15:11:18 +0000 2025,1,BGN bergerak cepat! Tim khusus dibentuk untuk selidiki dugaan keracunan dalam Program Makan Bergizi Gratis. Data pun diklarifikasi agar publik mendapat informasi yang jelas dan kredibel. #Prabowo #MakanBergiziGratis #MBG #BGN #DukungMBG #PrabowoUntukRakyat https://t.co/ct3vOmtztg,1.9723182056130683e+18,https://pbs.twimg.com/amplify_video_thumb/1972317673368465408/img/knbG7hmFVd7YNkoe.jpg,,in,,0.0,1.0,0.0,https://x.com/undefined/status/1972318205613068573,1.6099944975550628e+18,;;;;,2025-09-28 15:11:18,bgn bergerak cepat! tim khusus dibentuk untuk selidiki dugaan keracunan dalam program makan bergizi gratis. data pun diklarifikasi agar publik mendapat informasi yang jelas dan kredibel. #prabowo #makanbergizigratis #mbg #bgn #dukungmbg #prabowountukrakyat https://t.co/ct3vomtztg,bgn bergerak cepat tim khusus dibentuk untuk selidiki dugaan keracunan dalam program makan bergizi gratis data pun diklarifikasi agar publik mendapat informasi yang jelas dan kredibel,"['bgn', 'bergerak', 'cepat', 'tim', 'khusus', 'dibentuk', 'untuk', 'selidiki', 'dugaan', 'keracunan', 'dalam', 'program', 'makan', 'bergizi', 'gratis', 'data', 'pun', 'diklarifikasi', 'agar', 'publik', 'mendapat', 'informasi', 'yang', 'jelas', 'dan', 'kredibel']","['badan gizi nasional', 'bergerak', 'cepat', 'tim', 'khusus', 'dibentuk', 'untuk', 'selidiki', 'dugaan', 'keracunan', 'dalam', 'program', 'makan', 'bergizi', 'gratis', 'data', 'pun', 'diklarifikasi', 'agar', 'publik', 'mendapat', 'informasi', 'yang', 'jelas', 'dan', 'kredibel']",badan gizi nasional bergerak cepat tim khusus dibentuk untuk selidiki dugaan keracunan dalam program makan bergizi gratis data pun diklarifikasi agar publik mendapat informasi yang jelas dan kredibel,badan gizi nasional gerak cepat tim khusus bentuk untuk selidik duga racun dalam program makan gizi gratis data pun klarifikasi agar publik dapat informasi yang jelas dan kredibel,badan gizi nasional gerak cepat tim khusus bentuk selidik duga racun program makan gizi gratis data klarifikasi publik informasi jelas kredibel,4
GIZI_GRATIS,1972276085892264113,Sun Sep 28 12:23:56 +0000 2025,0,komitmen pemerintah diwujudkan melalui penyempurnaan berkelanjutan pada program makan bergizi gratis termasuk penyesuaian menu sesuai standar gizi seimbang demi memenuhi kebutuhan nutrisi anak-anak untuk tumbuh sehat. #KomitmenPemerintahJagaMBG https://t.co/SP5RfAhrI0,1.972276085892264e+18,,,in,,0.0,0.0,0.0,https://x.com/undefined/status/1972276085892264113,1457301618.0,;;;;,2025-09-28 12:23:56,komitmen pemerintah diwujudkan melalui penyempurnaan berkelanjutan pada program makan bergizi gratis termasuk penyesuaian menu sesuai standar gizi seimbang demi memenuhi kebutuhan nutrisi anak-anak untuk tumbuh sehat. #komitmenpemerintahjagambg https://t.co/sp5rfahri0,komitmen pemerintah diwujudkan melalui penyempurnaan berkelanjutan pada program makan bergizi gratis termasuk penyesuaian menu sesuai standar gizi seimbang demi memenuhi kebutuhan nutrisi anak anak untuk tumbuh sehat,"['komitmen', 'pemerintah', 'diwujudkan', 'melalui', 'penyempurnaan', 'berkelanjutan', 'pada', 'program', 'makan', 'bergizi', 'gratis', 'termasuk', 'penyesuaian', 'menu', 'sesuai', 'standar', 'gizi', 'seimbang', 'demi', 'memenuhi', 'kebutuhan', 'nutrisi', 'anak', 'anak', 'untuk', 'tumbuh', 'sehat']","['komitmen', 'pemerintah', 'diwujudkan', 'melalui', 'penyempurnaan', 'berkelanjutan', 'pada', 'program', 'makan', 'bergizi', 'gratis', 'termasuk', 'penyesuaian', 'menu', 'sesuai', 'standar', 'gizi', 'seimbang', 'demi', 'memenuhi', 'kebutuhan', 'nutrisi', 'anak', 'anak', 'untuk', 'tumbuh', 'sehat']",komitmen pemerintah diwujudkan melalui penyempurnaan berkelanjutan pada program makan bergizi gratis termasuk penyesuaian menu sesuai standar gizi seimbang demi memenuhi kebutuhan nutrisi anak anak untuk tumbuh sehat,komitmen perintah wujud lalu sempurna lanjut pada program makan gizi gratis masuk sesuai menu sesuai standar gizi imbang demi penuh butuh nutrisi anak anak untuk tumbuh sehat,komitmen perintah wujud lalu sempurna lanjut program makan gizi gratis sesuai menu sesuai standar gizi imbang penuh butuh nutrisi anak anak tumbuh sehat,0
SATUAN_PELAYANAN_PEMENIHAN_GIZI,1971219092561690697,Thu Sep 25 14:23:49 +0000 2025,10,Badan Gizi Nasional (BGN) menonaktifkan sementara sejumlah Satuan Pelayanan Pemenuhan Gizi (SPPG) di Banggai Kepulauan Sulawesi Tengah serta di Bogor Garut dan Bandung Barat. Langkah ini diambil setelah SPPG tersebut dinilai kurang cermat dalam menjalankan program Makan https://t.co/X2xTJKbI5l,1.9712190925616904e+18,https://pbs.twimg.com/ext_tw_video_thumb/1971218930699223040/pu/img/ITlAWwBXhZPuhI1v.jpg,,in,,2.0,20.0,5.0,https://x.com/undefined/status/1971219092561690697,57261519.0,;;;;,2025-09-25 14:23:49,badan gizi nasional (bgn) menonaktifkan sementara sejumlah satuan pelayanan pemenuhan gizi (sppg) di banggai kepulauan sulawesi tengah serta di bogor garut dan bandung barat. langkah ini diambil setelah sppg tersebut dinilai kurang cermat dalam menjalankan program makan https://t.co/x2xtjkbi5l,badan gizi nasional bgn menonaktifkan sementara sejumlah satuan pelayanan pemenuhan gizi sppg di banggai kepulauan sulawesi tengah serta di bogor garut dan bandung barat langkah ini diambil setelah sppg tersebut dinilai kurang cermat dalam menjalankan program makan,"['badan', 'gizi', 'nasional', 'bgn', 'menonaktifkan', 'sementara', 'sejumlah', 'satuan', 'pelayanan', 'pemenuhan', 'gizi', 'sppg', 'di', 'banggai', 'kepulauan', 'sulawesi', 'tengah', 'serta', 'di', 'bogor', 'garut', 'dan', 'bandung', 'barat', 'langkah', 'ini', 'diambil', 'setelah', 'sppg', 'tersebut', 'dinilai', 'kurang', 'cermat', 'dalam', 'menjalankan', 'program', 'makan']","['badan', 'gizi', 'nasional', 'badan gizi nasional', 'menonaktifkan', 'sementara', 'sejumlah', 'satuan', 'pelayanan', 'pemenuhan', 'gizi', 'satuan pelayanan pemenuhan gizi', 'di', 'banggai', 'kepulauan', 'sulawesi', 'tengah', 'serta', 'di', 'bogor', 'garut', 'dan', 'bandung', 'barat', 'langkah', 'ini', 'diambil', 'setelah', 'satuan pelayanan pemenuhan gizi', 'tersebut', 'dinilai', 'kurang', 'cermat', 'dalam', 'menjalankan', 'program', 'makan']",badan gizi nasional badan gizi nasional menonaktifkan sementara sejumlah satuan pelayanan pemenuhan gizi satuan pelayanan pemenuhan gizi di banggai kepulauan sulawesi tengah serta di bogor garut dan bandung barat langkah ini diambil setelah satuan pelayanan pemenuhan gizi tersebut dinilai kurang cermat dalam menjalankan program makan,badan gizi nasional badan gizi nasional nonaktif sementara jumlah satu layan penuh gizi satu layan penuh gizi di bangga pulau sulawesi tengah serta di bogor garut dan bandung barat langkah ini ambil telah satu layan penuh gizi sebut nilai kurang cermat dalam jalan program makan,badan gizi nasional badan gizi nasional nonaktif jumlah satu layan penuh gizi satu layan penuh gizi bangga pulau sulawesi tengah bogor garut bandung barat langkah ambil satu layan penuh gizi sebut nilai cermat jalan program makan,0
MENU_MBG,1972276311239569574,Sun Sep 28 12:24:50 +0000 2025,0,MBG menjadi salah satu program pemerintah yg sedang berjalan saat ini pemerintah juga memastikan menu yg disajikan sesuai standar gizi seimbang https://t.co/DhaxEoJ4X5 #KomitmenPemerintahJagaMBG,1.9722763112395697e+18,,,in,,0.0,0.0,0.0,https://x.com/undefined/status/1972276311239569574,2758730709.0,;;;;,2025-09-28 12:24:50,mbg menjadi salah satu program pemerintah yg sedang berjalan saat ini pemerintah juga memastikan menu yg disajikan sesuai standar gizi seimbang https://t.co/dhaxeoj4x5 #komitmenpemerintahjagambg,mbg menjadi salah satu program pemerintah yg sedang berjalan saat ini pemerintah juga memastikan menu yg disajikan sesuai standar gizi seimbang,"['mbg', 'menjadi', 'salah', 'satu', 'program', 'pemerintah', 'yg', 'sedang', 'berjalan', 'saat', 'ini', 'pemerintah', 'juga', 'memastikan', 'menu', 'yg', 'disajikan', 'sesuai', 'standar', 'gizi', 'seimbang']","['makan bergizi gratis', 'menjadi', 'salah', 'satu', 'program', 'pemerintah', 'yang', 'sedang', 'berjalan', 'saat', 'ini', 'pemerintah', 'juga', 'memastikan', 'menu', 'yang', 'disajikan', 'sesuai', 'standar', 'gizi', 'seimbang']",makan bergizi gratis menjadi salah satu program pemerintah yang sedang berjalan saat ini pemerintah juga memastikan menu yang disajikan sesuai standar gizi seimbang,makan gizi gratis jadi salah satu program perintah yang sedang jalan saat ini perintah juga pasti menu yang saji sesuai standar gizi imbang,makan gizi gratis satu program perintah sedang jalan perintah menu saji sesuai standar gizi imbang,-1
MAKANAN_BASI_MBG,1971012273054347357,Thu Sep 25 13:14:59 +0000 2025,0,@sarkasinaja @txtdrimedia Menurutku ini tuh masalah dapur yg harus bikin mbg buat beberapa sekolah. Jdi dimasak malam dipacking pagi baru dimakan siang dah pasti memungkinan makanan bisa basi. Harusnya 1 sekolah 1 dapur jdi makanan bisa lebih fresh disajiinnya,1.971201770467754e+18,,sarkasinaja,in,,0.0,0.0,0.0,https://x.com/undefined/status/1971201770467754009,1.7044983656673976e+18,;;;;,2025-09-25 13:14:59,@sarkasinaja @txtdrimedia menurutku ini tuh masalah dapur yg harus bikin mbg buat beberapa sekolah. jdi dimasak malam dipacking pagi baru dimakan siang dah pasti memungkinan makanan bisa basi. harusnya 1 sekolah 1 dapur jdi makanan bisa lebih fresh disajiinnya,menurutku ini tuh masalah dapur yg harus bikin mbg buat beberapa sekolah jdi dimasak malam dipacking pagi baru dimakan siang dah pasti memungkinan makanan bisa basi harusnya sekolah dapur jdi makanan bisa lebih fresh disajiinnya,"['menurutku', 'ini', 'tuh', 'masalah', 'dapur', 'yg', 'harus', 'bikin', 'mbg', 'buat', 'beberapa', 'sekolah', 'jdi', 'dimasak', 'malam', 'dipacking', 'pagi', 'baru', 'dimakan', 'siang', 'dah', 'pasti', 'memungkinan', 'makanan', 'bisa', 'basi', 'harusnya', 'sekolah', 'dapur', 'jdi', 'makanan', 'bisa', 'lebih', 'fresh', 'disajiinnya']","['menurutku', 'ini', 'tuh', 'masalah', 'dapur', 'yang', 'harus', 'bikin', 'makan bergizi gratis', 'buat', 'beberapa', 'sekolah', 'jadi', 'dimasak', 'malam', 'dipacking', 'pagi', 'baru', 'dimakan', 'siang', 'deh', 'pasti', 'memungkinan', 'makanan', 'bisa', 'basi', 'harusnya', 'sekolah', 'dapur', 'jadi', 'makanan', 'bisa', 'lebih', 'fresh', 'disajiinnya']",menurutku ini tuh masalah dapur yang harus bikin makan bergizi gratis buat beberapa sekolah jadi dimasak malam dipacking pagi baru dimakan siang deh pasti memungkinan makanan bisa basi harusnya sekolah dapur jadi makanan bisa lebih fresh disajiinnya,turut ini tuh masalah dapur yang harus bikin makan gizi gratis buat beberapa sekolah jadi masak malam dipacking pagi baru makan siang deh pasti mungkin makan bisa basi harus sekolah dapur jadi makan bisa lebih fresh disajiinnya,turut masalah dapur makan gizi gratis beberapa sekolah masak malam dipacking pagi makan siang makan basi sekolah dapur makan fresh disajiinnya,0
PRABOWO_MAKAN_GRATIS,1971932208769519641,Sat Sep 27 13:37:29 +0000 2025,0,Kasus dugaan keracunan dalam program Makan Bergizi Gratis (MBG) di sejumlah daerah diharapkan tidak dipolitisasi. Demikian penegasan Presiden Prabowo Subianto di Lanud Halim Perdanakusuma Jakarta Sabtu (27/9). https://t.co/KXCBU10WiW,1.97193220876952e+18,,,in,,0.0,0.0,0.0,https://x.com/undefined/status/1971932208769519641,68930552.0,;;;;,2025-09-27 13:37:29,kasus dugaan keracunan dalam program makan bergizi gratis (mbg) di sejumlah daerah diharapkan tidak dipolitisasi. demikian penegasan presiden prabowo subianto di lanud halim perdanakusuma jakarta sabtu (27/9). https://t.co/kxcbu10wiw,kasus dugaan keracunan dalam program makan bergizi gratis mbg di sejumlah daerah diharapkan tidak dipolitisasi demikian penegasan presiden prabowo subianto di lanud halim perdanakusuma jakarta sabtu,"['kasus', 'dugaan', 'keracunan', 'dalam', 'program', 'makan', 'bergizi', 'gratis', 'mbg', 'di', 'sejumlah', 'daerah', 'diharapkan', 'tidak', 'dipolitisasi', 'demikian', 'penegasan', 'presiden', 'prabowo', 'subianto', 'di', 'lanud', 'halim', 'perdanakusuma', 'jakarta', 'sabtu']","['kasus', 'dugaan', 'keracunan', 'dalam', 'program', 'makan', 'bergizi', 'gratis', 'makan bergizi gratis', 'di', 'sejumlah', 'daerah', 'diharapkan', 'tidak', 'dipolitisasi', 'demikian', 'penegasan', 'presiden', 'prabowo', 'subianto', 'di', 'lanud', 'halim', 'perdanakusuma', 'jakarta', 'sabtu']",kasus dugaan keracunan dalam program makan bergizi gratis makan bergizi gratis di sejumlah daerah diharapkan tidak dipolitisasi demikian penegasan presiden prabowo subianto di lanud halim perdanakusuma jakarta sabtu,kasus duga racun dalam program makan gizi gratis makan gizi gratis di jumlah daerah harap tidak politisasi demikian tegas presiden prabowo subianto di lanud halim perdanakusuma jakarta sabtu,kasus duga racun program makan gizi gratis makan gizi gratis jumlah daerah harap politisasi tegas presiden prabowo subianto lanud halim perdanakusuma jakarta sabtu,0
PROGRAM_PRIORITAS_PEMERINTAH,1969727124790821357,Sun Sep 21 11:35:16 +0000 2025,1012,Proyek Makan Bergizi Gratis Dikuasai Segelintir Orang Segelintir orang diduga menguasai proyek makan bergizi gratis. Kondisi ini berisiko besar mengingat pemerintah mengucurkan anggaran besar pada proyek prioritas Presiden Prabowo Subianto ini. Simak selengkapnya di program https://t.co/i3cXu9dgvM,1.969727124790821e+18,https://pbs.twimg.com/media/G1XgYJbaYAADZpF.jpg,,in,,15.0,76.0,461.0,https://x.com/undefined/status/1969727124790821357,18129942.0,;;;;,2025-09-21 11:35:16,proyek makan bergizi gratis dikuasai segelintir orang segelintir orang diduga menguasai proyek makan bergizi gratis. kondisi ini berisiko besar mengingat pemerintah mengucurkan anggaran besar pada proyek prioritas presiden prabowo subianto ini. simak selengkapnya di program https://t.co/i3cxu9dgvm,proyek makan bergizi gratis dikuasai segelintir orang segelintir orang diduga menguasai proyek makan bergizi gratis kondisi ini berisiko besar mengingat pemerintah mengucurkan anggaran besar pada proyek prioritas presiden prabowo subianto ini simak selengkapnya di program,"['proyek', 'makan', 'bergizi', 'gratis', 'dikuasai', 'segelintir', 'orang', 'segelintir', 'orang', 'diduga', 'menguasai', 'proyek', 'makan', 'bergizi', 'gratis', 'kondisi', 'ini', 'berisiko', 'besar', 'mengingat', 'pemerintah', 'mengucurkan', 'anggaran', 'besar', 'pada', 'proyek', 'prioritas', 'presiden', 'prabowo', 'subianto', 'ini', 'simak', 'selengkapnya', 'di', 'program']","['proyek', 'makan', 'bergizi', 'gratis', 'dikuasai', 'segelintir', 'orang', 'segelintir', 'orang', 'diduga', 'menguasai', 'proyek', 'makan', 'bergizi', 'gratis', 'kondisi', 'ini', 'berisiko', 'besar', 'mengingat', 'pemerintah', 'mengucurkan', 'anggaran', 'besar', 'pada', 'proyek', 'prioritas', 'presiden', 'prabowo', 'subianto', 'ini', 'simak', 'selengkapnya', 'di', 'program']",proyek makan bergizi gratis dikuasai segelintir orang segelintir orang diduga menguasai proyek makan bergizi gratis kondisi ini berisiko besar mengingat pemerintah mengucurkan anggaran besar pada proyek prioritas presiden prabowo subianto ini simak selengkapnya di program,proyek makan gizi gratis asai gelintir orang gelintir orang duga kuasa proyek makan gizi gratis kondisi ini risiko besar ingat perintah kucur anggar besar pada proyek prioritas presiden prabowo subianto ini simak lengkap di program,proyek makan gizi gratis asai gelintir gelintir duga kuasa proyek makan gizi gratis kondisi risiko besar ingat perintah kucur anggar besar proyek prioritas presiden prabowo subianto simak lengkap program,-1
GIBRAN_MAKAN_GRATIS,1970872023611244625,Wed Sep 24 23:53:46 +0000 2025,0,@velodrone_id @NyaiNeneng @okeh_fik Gibran melakukan sidak ke sekolah dalam rangka meninjau program pemerintah seperti Makan Bergizi Gratis (MBG) atau Sekolah Rakyat untuk memastikan pelaksanaannya. Kunjungan terbaru di Papua fokus pada akses pendidikan dan nutrisi siswa. Untuk detail kejadian hari ini info masih,1.971000135019868e+18,,velodrone_id,in,,0.0,1.0,0.0,https://x.com/undefined/status/1971000135019868224,1.7206651831889224e+18,;;;;,2025-09-24 23:53:46,@velodrone_id @nyaineneng @okeh_fik gibran melakukan sidak ke sekolah dalam rangka meninjau program pemerintah seperti makan bergizi gratis (mbg) atau sekolah rakyat untuk memastikan pelaksanaannya. kunjungan terbaru di papua fokus pada akses pendidikan dan nutrisi siswa. untuk detail kejadian hari ini info masih,gibran melakukan sidak ke sekolah dalam rangka meninjau program pemerintah seperti makan bergizi gratis mbg atau sekolah rakyat untuk memastikan pelaksanaannya kunjungan terbaru di papua fokus pada akses pendidikan dan nutrisi siswa untuk detail kejadian hari ini info masih,"['gibran', 'melakukan', 'sidak', 'ke', 'sekolah', 'dalam', 'rangka', 'meninjau', 'program', 'pemerintah', 'seperti', 'makan', 'bergizi', 'gratis', 'mbg', 'atau', 'sekolah', 'rakyat', 'untuk', 'memastikan', 'pelaksanaannya', 'kunjungan', 'terbaru', 'di', 'papua', 'fokus', 'pada', 'akses', 'pendidikan', 'dan', 'nutrisi', 'siswa', 'untuk', 'detail', 'kejadian', 'hari', 'ini', 'info', 'masih']","['gibran', 'melakukan', 'sidak', 'ke', 'sekolah', 'dalam', 'rangka', 'meninjau', 'program', 'pemerintah', 'seperti', 'makan', 'bergizi', 'gratis', 'makan bergizi gratis', 'atau', 'sekolah', 'rakyat', 'untuk', 'memastikan', 'pelaksanaannya', 'kunjungan', 'terbaru', 'di', 'papua', 'fokus', 'pada', 'akses', 'pendidikan', 'dan', 'nutrisi', 'siswa', 'untuk', 'detail', 'kejadian', 'hari', 'ini', 'info', 'masih']",gibran melakukan sidak ke sekolah dalam rangka meninjau program pemerintah seperti makan bergizi gratis makan bergizi gratis atau sekolah rakyat untuk memastikan pelaksanaannya kunjungan terbaru di papua fokus pada akses pendidikan dan nutrisi siswa untuk detail kejadian hari ini info masih,gibran laku sidak ke sekolah dalam rangka tinjau program perintah seperti makan gizi gratis makan gizi gratis atau sekolah rakyat untuk pasti laksana kunjung baru di papua fokus pada akses didik dan nutrisi siswa untuk detail jadi hari ini info masih,gibran laku sidak sekolah rangka tinjau program perintah makan gizi gratis makan gizi gratis sekolah rakyat laksana kunjung papua fokus akses didik nutrisi siswa detail info,0
DANA_MAKAN_GRATIS,1971122590703132855,Thu Sep 25 08:00:21 +0000 2025,0,Bill Gates Gelontorkan Dana 7-8 Triliun Rupiah untuk program kesehatan Di Indonesia. Lekas Makan Bergizi Gratis https://t.co/4yGh75kWRd,1.971122590703133e+18,https://pbs.twimg.com/ext_tw_video_thumb/1971122541067681792/pu/img/32prH7rQB_LP2_P4.jpg,,in,,0.0,0.0,0.0,https://x.com/undefined/status/1971122590703132855,2456608914.0,;;;;,2025-09-25 08:00:21,bill gates gelontorkan dana 7-8 triliun rupiah untuk program kesehatan di indonesia. lekas makan bergizi gratis https://t.co/4ygh75kwrd,bill gates gelontorkan dana triliun rupiah untuk program kesehatan di indonesia lekas makan bergizi gratis,"['bill', 'gates', 'gelontorkan', 'dana', 'triliun', 'rupiah', 'untuk', 'program', 'kesehatan', 'di', 'indonesia', 'lekas', 'makan', 'bergizi', 'gratis']","['bill', 'gates', 'gelontorkan', 'dana', 'triliun', 'rupiah', 'untuk', 'program', 'kesehatan', 'di', 'indonesia', 'lekas', 'makan', 'bergizi', 'gratis']",bill gates gelontorkan dana triliun rupiah untuk program kesehatan di indonesia lekas makan bergizi gratis,bill gates gelontor dana triliun rupiah untuk program sehat di indonesia lekas makan gizi gratis,bill gates gelontor dana triliun rupiah program sehat indonesia lekas makan gizi gratis,0
